Config,Opponent,Game_ID,Q_Starts,Outcome,Moves,Total_Reward
baseline,RandomAgent,0,True,Win,8,1.0
baseline,RandomAgent,1,True,Win,12,1.0
baseline,RandomAgent,2,True,Win,11,1.0
baseline,RandomAgent,3,True,Draw,13,0.0
baseline,RandomAgent,4,True,Win,8,1.0
baseline,RandomAgent,5,True,Win,11,1.0
baseline,RandomAgent,6,True,Win,11,1.0
baseline,RandomAgent,7,True,Draw,13,0.0
baseline,RandomAgent,8,True,Loss,11,-1.0
baseline,RandomAgent,9,True,Win,12,1.0
baseline,RandomAgent,10,True,Win,9,1.0
baseline,RandomAgent,11,True,Win,12,1.0
baseline,RandomAgent,12,True,Win,10,1.0
baseline,RandomAgent,13,True,Win,12,1.0
baseline,RandomAgent,14,True,Loss,10,-1.0
baseline,RandomAgent,15,True,Loss,9,-1.0
baseline,RandomAgent,16,True,Loss,6,-1.0
baseline,RandomAgent,17,True,Win,10,1.0
baseline,RandomAgent,18,True,Loss,8,-1.0
baseline,RandomAgent,19,True,Win,6,1.0
baseline,RandomAgent,20,True,Win,9,1.0
baseline,RandomAgent,21,True,Loss,11,-1.0
baseline,RandomAgent,22,True,Draw,13,0.0
baseline,RandomAgent,23,True,Win,12,1.0
baseline,RandomAgent,24,True,Win,9,1.0
baseline,RandomAgent,25,True,Win,8,1.0
baseline,RandomAgent,26,True,Loss,10,-1.0
baseline,RandomAgent,27,True,Win,7,1.0
baseline,RandomAgent,28,True,Win,8,1.0
baseline,RandomAgent,29,True,Win,6,1.0
baseline,RandomAgent,30,True,Loss,10,-1.0
baseline,RandomAgent,31,True,Win,11,1.0
baseline,RandomAgent,32,True,Win,9,1.0
baseline,RandomAgent,33,True,Loss,10,-1.0
baseline,RandomAgent,34,True,Win,8,1.0
baseline,RandomAgent,35,True,Win,7,1.0
baseline,RandomAgent,36,True,Loss,10,-1.0
baseline,RandomAgent,37,True,Loss,5,-1.0
baseline,RandomAgent,38,True,Win,5,1.0
baseline,RandomAgent,39,True,Loss,11,-1.0
baseline,RandomAgent,40,True,Win,9,1.0
baseline,RandomAgent,41,True,Draw,13,0.0
baseline,RandomAgent,42,True,Win,9,1.0
baseline,RandomAgent,43,True,Loss,9,-1.0
baseline,RandomAgent,44,True,Loss,11,-1.0
baseline,RandomAgent,45,True,Win,13,1.0
baseline,RandomAgent,46,True,Win,13,1.0
baseline,RandomAgent,47,True,Loss,11,-1.0
baseline,RandomAgent,48,True,Win,10,1.0
baseline,RandomAgent,49,True,Win,11,1.0
baseline,RandomAgent,50,False,Win,9,1.0
baseline,RandomAgent,51,False,Loss,9,-1.0
baseline,RandomAgent,52,False,Loss,8,-1.0
baseline,RandomAgent,53,False,Loss,9,-1.0
baseline,RandomAgent,54,False,Draw,12,0.0
baseline,RandomAgent,55,False,Win,10,1.0
baseline,RandomAgent,56,False,Win,9,1.0
baseline,RandomAgent,57,False,Win,8,1.0
baseline,RandomAgent,58,False,Loss,10,-1.0
baseline,RandomAgent,59,False,Win,11,1.0
baseline,RandomAgent,60,False,Loss,7,-1.0
baseline,RandomAgent,61,False,Loss,7,-1.0
baseline,RandomAgent,62,False,Win,11,1.0
baseline,RandomAgent,63,False,Win,8,1.0
baseline,RandomAgent,64,False,Loss,9,-1.0
baseline,RandomAgent,65,False,Win,7,1.0
baseline,RandomAgent,66,False,Loss,7,-1.0
baseline,RandomAgent,67,False,Loss,9,-1.0
baseline,RandomAgent,68,False,Draw,12,0.0
baseline,RandomAgent,69,False,Loss,9,-1.0
baseline,RandomAgent,70,False,Loss,9,-1.0
baseline,RandomAgent,71,False,Loss,11,-1.0
baseline,RandomAgent,72,False,Win,11,1.0
baseline,RandomAgent,73,False,Win,12,1.0
baseline,RandomAgent,74,False,Draw,12,0.0
baseline,RandomAgent,75,False,Draw,12,0.0
baseline,RandomAgent,76,False,Win,8,1.0
baseline,RandomAgent,77,False,Win,11,1.0
baseline,RandomAgent,78,False,Loss,8,-1.0
baseline,RandomAgent,79,False,Loss,9,-1.0
baseline,RandomAgent,80,False,Win,10,1.0
baseline,RandomAgent,81,False,Win,10,1.0
baseline,RandomAgent,82,False,Loss,7,-1.0
baseline,RandomAgent,83,False,Win,9,1.0
baseline,RandomAgent,84,False,Draw,12,0.0
baseline,RandomAgent,85,False,Win,7,1.0
baseline,RandomAgent,86,False,Win,12,1.0
baseline,RandomAgent,87,False,Win,5,1.0
baseline,RandomAgent,88,False,Win,10,1.0
baseline,RandomAgent,89,False,Draw,12,0.0
baseline,RandomAgent,90,False,Win,10,1.0
baseline,RandomAgent,91,False,Win,10,1.0
baseline,RandomAgent,92,False,Draw,12,0.0
baseline,RandomAgent,93,False,Loss,8,-1.0
baseline,RandomAgent,94,False,Loss,9,-1.0
baseline,RandomAgent,95,False,Loss,7,-1.0
baseline,RandomAgent,96,False,Win,8,1.0
baseline,RandomAgent,97,False,Loss,10,-1.0
baseline,RandomAgent,98,False,Loss,9,-1.0
baseline,RandomAgent,99,False,Loss,6,-1.0
baseline,NoisyHeuristicAgent,0,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,1,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,2,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,3,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,4,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,5,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,6,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,7,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,8,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,9,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,10,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,11,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,12,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,13,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,14,True,Loss,4,-1.0
baseline,NoisyHeuristicAgent,15,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,16,True,Loss,8,-1.0
baseline,NoisyHeuristicAgent,17,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,18,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,19,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,20,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,21,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,22,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,23,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,24,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,25,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,26,True,Loss,4,-1.0
baseline,NoisyHeuristicAgent,27,True,Loss,9,-1.0
baseline,NoisyHeuristicAgent,28,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,29,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,30,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,31,True,Loss,7,-1.0
